id,name,flavor_group,canonical_name
1,celery,vegetable,celere
2,corn,vegetable,corn
3,cucumber,vegetable,cucumber
4,horseradish,vegetable,horseradish
5,vegetable,vegetable,vegetable
6,potato,vegetable,potato
7,tomato,vegetable,tomato
8,caraway,herbaceous,carawae
9,clove,herbaceous,clove
10,fennel,herbaceous,fennel
11,herbaceous,herbaceous,herb
12,sage,herbaceous,sage
13,butter,fatty,butter
14,cheese,fatty,cheese
15,creamy,fatty,cream
16,hop_oil,fatty,hop oil
17,oily,fatty,oile
18,fatty,fatty,fat
19,sour,fatty,sour
20,coumarin,spicy,coumarin
21,spicy,spicy,spice
22,blossom,floral,blossom
23,carnation,floral,carnation
24,gardenia,floral,gardenia
25,geranium,floral,geranium
26,hawthorne,floral,hawthorne
27,hyacinth,floral,hyacinth
28,iris,floral,iri
29,jasmine,floral,jasmine
30,lavender,floral,lavender
31,lily,floral,lile
32,marigold,floral,marigold
33,floral,floral,floral
34,rose,floral,rose
35,violet,floral,violet
36,anise,balsamic,anise
37,balsam,balsamic,balsam
38,butterscotch,balsamic,butter
39,caramel,balsamic,caramel
40,chocolate,balsamic,chocolate
41,cinnamon,balsamic,cinnamon
42,honey,balsamic,honee
43,others,balsamic,other
44,sweet,balsamic,sweet
45,vanilla,balsamic,vanilla
46,lemon,citrus,lemon
47,lime,citrus,lime
48,melon,citrus,melon
49,orange,citrus,orange
50,citrus,citrus,citru
51,cedar,woody,cedar
52,maple,woody,maple
53,mesquite,woody,mesquite
54,woody,woody,woode
55,bacon,meaty,bacon
56,beef,meaty,beef
57,meaty,meaty,meat
58,leafy,green,leafe
59,green,green,green
60,wintergreen,green,wintergreen
61,beer,wine_like,beer
62,brandy,wine_like,brande
63,wine_like,wine_like,wine like
64,rum,wine_like,rum
65,whiskey,wine_like,whiskee
66,mushroom,earthy,mushroom
67,musty,earthy,muste
68,earthy,earthy,earth
69,apple,fruity,apple
70,apricot,fruity,apricot
71,banana,fruity,banana
72,berry,fruity,berre
73,cantaloupe,fruity,cantaloupe
74,cherry,fruity,cherre
75,coconut,fruity,coconut
76,cranberry,fruity,cranberre
77,grape,fruity,grape
78,grapefruit,fruity,grapefruit
79,jam,fruity,jam
80,mango,fruity,mango
81,fruity,fruity,fruit
82,papaya,fruity,papaya
83,peach,fruity,peach
84,pear,fruity,pear
85,pineapple,fruity,pineapple
86,plum,fruity,plum
87,quince,fruity,quince
88,raspberry,fruity,raspberre
89,strawberry,fruity,strawberre
90,tart,fruity,tart
91,tropica,fruity,tropica
92,watermelon,fruity,watermelon
93,alcohol,chemical,alcohol
94,plastic,chemical,plastic
95,sulfurous,chemical,sulfur
96,almond,nutty,almond
97,hazelnut,nutty,hazelnut
98,nutty,nutty,nut
99,peanut,nutty,peanut
100,walnut,nutty,walnut
101,camphoraceous,camphoraceous,camphoraceou
102,tobacco,tobacco,tobacco
103,minty,minty,minte
104,pepper,pepper,pepper
105,medicinal,medicinal,medicinal
106,mossy,mossy,mosse
107,fishy,fishy,fish
108,smoky,smoky,smoke
109,musky,musky,muske
110,soapy,soapy,soape
111,seedy,seedy,seede
112,animal,animal,animal
113,alkaline,,alkaline
114,alkane,,alkane
115,almond shell,,almond shell
116,amine,,amine
117,apple peel,,apple peel
118,baked,,bak
119,balsamic,,balsamic
120,basil,,basil
121,beet,,beet
122,biscuit,,biscuit
123,bitter,,bitter
124,bitter almond,,bitter almond
125,black currant,,black currant
126,boiled vegetable,,boil vegetable
127,box tree,,box tree
128,bread,,bread
129,broccoli,,broccoli
130,brown sugar,,brown sugar
131,burnt,,burnt
132,burnt sugar,,burnt sugar
133,cabbage,vegetable,cabbage
134,camomile,,camomile
135,camphor,,camphor
136,cardboard,,cardboard
137,carrot,,carrot
138,cat,,cat
139,chemical,,chemical
140,cocoa,,cocoa
141,coffee,,coffee
142,cognac,,cognac
143,cologne,,cologne
144,cooked meat,,cook meat
145,cooked potato,,cook potato
146,cooked vegetable,,cook vegetable
147,coriander,,coriander
148,cotton candy,,cotton cande
149,cream,,cream
150,crushed bug,,crush bug
151,curry,,curre
152,dill,,dill
153,dust,,dust
154,earth,,earth
155,ester,,ester
156,ether,,ether
157,fat,,fat
158,fecal,,fecal
159,fish,,fish
160,flower,,flower
161,foxy,,foxe
162,fresh,,fresh
163,fried,,fri
164,fruit,,fruit
165,garlic,,garlic
166,gasoline,,gasoline
167,grass,,gras
168,green bean,,green bean
169,green leaf,,green leaf
170,green pepper,,green pepper
171,green tea,,green tea
172,herb,,herb
173,hot milk,,hot milk
174,hummus,,hummu
175,lactone,,lactone
176,leaf,,leaf
177,lettuce,,lettuce
178,licorice,,licorice
179,lilac,,lilac
180,magnolia,,magnolia
181,malt,,malt
182,mandarin,,mandarin
183,marshmallow,,marshmallow
184,meat,,meat
185,meat broth,,meat broth
186,medicine,,medicine
187,menthol,,menthol
188,metal,,metal
189,mildew,,mildew
190,mint,,mint
191,mold,,mold
192,moss,,mos
193,mothball,,mothball
194,muguet,,muguet
195,must,,must
196,mustard,,mustard
197,nut,,nut
198,nutmeg,,nutmeg
199,oil,,oil
200,onion,,onion
201,orange peel,,orange peel
202,orris,,orri
203,paint,,paint
204,paper,,paper
205,pea,,pea
206,peanut butter,,peanut butter
207,peppermint,,peppermint
208,pesticide,,pesticide
209,phenol,,phenol
210,pine,,pine
211,popcorn,,popcorn
212,prune,,prune
213,pungent,,pungent
214,putrid,,putrid
215,rancid,,rancid
216,resin,,resin
217,roast,,roast
218,roast beef,,roast beef
219,roasted meat,,roast meat
220,roasted nut,,roast nut
221,rubber,,rubber
222,seaweed,,seawe
223,sharp,,sharp
224,smoke,,smoke
225,soap,,soap
226,solvent,,solvent
227,soy,,soy
228,spearmint,,spearmint
229,spice,,spice
230,straw,,straw
231,sulfur,,sulfur
232,sweat,,sweat
233,tallow,,tallow
234,tar,,tar
235,tart lime,,tart lime
236,tea,,tea
237,terpentine,,terpentine
238,thiamin,,thiamin
239,thyme,,thyme
240,tomato leaf,,tomato leaf
241,truffle,,truffle
242,turpentine,,turpentine
243,urine,,urine
244,vinyl,,vinyl
245,warm,,warm
246,wax,,wax
247,weak spice,,weak spice
248,wet cloth,,wet cloth
249,wine,,wine
250,wood,,wood
251,yeast,,yeast
252,acid,,acid
253,4-t-butyl cyclohexyl acetate,,4 t butyl cyclohexyl acetate
254,absinthe,,absinthe
255,absolute,,absolute
256,acacia,,acacia
257,acetate,,acetate
258,acetic,,acetic
259,acetoin,,acetoin
260,acetone,,acetone
261,acetophenone,,acetophenone
262,acidic,,acidic
263,acorn,,acorn
264,acrid,,acrid
265,acrylate,,acrylate
266,acrylic,,acrylic
267,adoxal,,adoxal
268,air marine,,air marine
269,alcoholic,,alcoholic
270,aldehyde,,aldehyde
271,aldehydic,,aldehydic
272,algae,,algae
273,alliaceous,,alliaceou
274,allo-ocimenol,,allo ocimenol
275,allspice,,allspice
276,almost odorless,,almost odorles
277,amber,,amber
278,ambergris,,ambergri
279,ambrette,,ambrette
280,ambrette seed,,ambrette seed
281,ambrette seed effect,,ambrette seed effect
282,ammonia,,ammonia
283,ammoniacal,,ammoniacal
284,amyl butyl ester,,amyl butyl ester
285,amyris,,amyri
286,angelic,,angelic
287,angelica,,angelica
288,aniseed,,anise
289,anisic,,anisic
290,anisyl acetate,,anisyl acetate
291,apple juice,,apple juice
292,apple skin,,apple skin
293,armoise,,armoise
294,aromatic,,aromatic
295,arrack,,arrack
296,artichoke,,artichoke
297,asprin,,asprin
298,astringent,,astringent
299,autumn,,autumn
300,azalea,,azalea
301,banana peel,,banana peel
302,banana skin,,banana skin
303,bark,,bark
304,barley,,barlee
305,bay oil,,bay oil
306,bean,,bean
307,beany,,beane
308,beef gravey,,beef gravee
309,beef juice,,beef juice
310,beefy,,beefe
311,beeswax,,beeswax
312,bell,,bell
313,benzaldehyde,,benzaldehyde
314,benzophenone,,benzophenone
315,benzyl acetate,,benzyl acetate
316,benzyl propionate,,benzyl propionate
317,bergamot,,bergamot
318,bilberry,,bilberre
319,bisabolene,,bisabolene
320,black tea,,black tea
321,blackberry,,blackberre
322,blackcurrant,,blackcurrant
323,bland,,bland
324,bloody,,bloode
325,bloomy,,bloome
326,blue cheese,,blue cheese
327,bluebell,,bluebell
328,blueberry,,blueberre
329,boiled beef,,boil beef
330,boiled egg,,boil egg
331,boiled meat,,boil meat
332,boiled shrimp,,boil shrimp
333,bois de rose,,boi de rose
334,borneol,,borneol
335,boronia,,boronia
